update_id,epoch,batch_index,sample_index,global_sample_index,tile_index,x_size,d_size,bl,batch_loss
0,0,0,0,0,52,64,64,18,3.45595145
1,0,0,20,20,52,64,64,18,3.45595145
2,0,0,40,40,52,64,64,18,3.45595145
3,0,0,60,60,52,64,64,25,3.45595145
4,0,1,16,80,52,64,64,20,3.50146246
5,0,1,36,100,52,64,64,21,3.50146246
6,0,1,56,120,52,64,64,22,3.50146246
7,0,2,12,140,52,64,64,20,3.21811533
8,0,2,32,160,52,64,64,25,3.21811533
9,0,2,52,180,52,64,64,24,3.21811533
10,0,3,8,200,52,64,64,19,3.27827835
11,0,3,28,220,52,64,64,22,3.27827835
12,0,3,48,240,52,64,64,34,3.27827835
13,0,4,4,260,52,64,64,18,2.97525835
14,0,4,24,280,52,64,64,15,2.97525835
15,0,4,44,300,52,64,64,22,2.97525835
16,0,5,0,320,52,64,64,10,2.73347902
17,0,5,20,340,52,64,64,15,2.73347902
18,0,5,40,360,52,64,64,17,2.73347902
19,0,5,60,380,52,64,64,21,2.73347902
20,0,6,16,400,52,64,64,12,2.84650636
21,0,6,36,420,52,64,64,16,2.84650636
22,0,6,56,440,52,64,64,25,2.84650636
23,0,7,12,460,52,64,64,10,2.90027857
24,0,7,32,480,52,64,64,24,2.90027857
25,0,7,52,500,52,64,64,29,2.90027857
26,0,8,8,520,52,64,64,7,3.03441763
27,0,8,28,540,52,64,64,12,3.03441763
28,0,8,48,560,52,64,64,30,3.03441763
29,0,9,4,580,52,64,64,15,2.58185172
30,0,9,24,600,52,64,64,21,2.58185172
31,0,9,44,620,52,64,64,19,2.58185172
32,0,10,0,640,52,64,64,29,2.61728525
33,0,10,20,660,52,64,64,22,2.61728525
34,0,10,40,680,52,64,64,6,2.61728525
35,0,10,60,700,52,64,64,18,2.61728525
36,0,11,16,720,52,64,64,28,2.68885899
37,0,11,36,740,52,64,64,23,2.68885899
38,0,11,56,760,52,64,64,16,2.68885899
39,0,12,12,780,52,64,64,18,2.75399017
40,0,12,32,800,52,64,64,35,2.75399017
