update_id,epoch,batch_index,sample_index,global_sample_index,tile_index,x_size,d_size,bl,batch_loss
0,0,0,0,0,52,64,64,3,3.65889764
1,0,0,20,20,52,64,64,3,3.65889764
2,0,0,40,40,52,64,64,3,3.65889764
3,0,0,60,60,52,64,64,3,3.65889764
4,0,1,16,80,52,64,64,2,3.22904181
5,0,1,36,100,52,64,64,2,3.22904181
6,0,1,56,120,52,64,64,4,3.22904181
7,0,2,12,140,52,64,64,2,3.29854989
8,0,2,32,160,52,64,64,2,3.29854989
9,0,2,52,180,52,64,64,3,3.29854989
10,0,3,8,200,52,64,64,2,3.32110071
11,0,3,28,220,52,64,64,2,3.32110071
12,0,3,48,240,52,64,64,2,3.32110071
13,0,4,4,260,52,64,64,2,2.90021753
14,0,4,24,280,52,64,64,2,2.90021753
15,0,4,44,300,52,64,64,3,2.90021753
16,0,5,0,320,52,64,64,3,2.54613304
17,0,5,20,340,52,64,64,3,2.54613304
18,0,5,40,360,52,64,64,2,2.54613304
19,0,5,60,380,52,64,64,2,2.54613304
20,0,6,16,400,52,64,64,2,2.82430959
21,0,6,36,420,52,64,64,2,2.82430959
22,0,6,56,440,52,64,64,3,2.82430959
23,0,7,12,460,52,64,64,2,2.9430809
24,0,7,32,480,52,64,64,2,2.9430809
25,0,7,52,500,52,64,64,3,2.9430809
26,0,8,8,520,52,64,64,4,2.94107604
27,0,8,28,540,52,64,64,3,2.94107604
28,0,8,48,560,52,64,64,4,2.94107604
29,0,9,4,580,52,64,64,2,2.77575254
30,0,9,24,600,52,64,64,2,2.77575254
31,0,9,44,620,52,64,64,2,2.77575254
32,0,10,0,640,52,64,64,2,2.65346336
33,0,10,20,660,52,64,64,4,2.65346336
34,0,10,40,680,52,64,64,2,2.65346336
35,0,10,60,700,52,64,64,3,2.65346336
36,0,11,16,720,52,64,64,3,2.55791497
37,0,11,36,740,52,64,64,3,2.55791497
38,0,11,56,760,52,64,64,2,2.55791497
39,0,12,12,780,52,64,64,2,2.4917953
40,0,12,32,800,52,64,64,3,2.4917953
41,0,12,52,820,52,64,64,2,2.4917953
42,0,13,8,840,52,64,64,2,2.22222853
43,0,13,28,860,52,64,64,3,2.22222853
44,0,13,48,880,52,64,64,2,2.22222853
45,0,14,4,900,52,64,64,3,2.07819748
46,0,14,24,920,52,64,64,1,2.07819748
47,0,14,44,940,52,64,64,2,2.07819748
48,0,15,0,960,52,64,64,3,2.51791811
49,0,15,20,980,52,64,64,1,2.51791811
50,0,15,40,1000,52,64,64,3,2.51791811
51,0,15,60,1020,52,64,64,2,2.51791811
52,0,16,16,1040,52,64,64,3,2.55313826
53,0,16,36,1060,52,64,64,2,2.55313826
54,0,16,56,1080,52,64,64,2,2.55313826
55,0,17,12,1100,52,64,64,3,2.26067042
56,0,17,32,1120,52,64,64,2,2.26067042
57,0,17,52,1140,52,64,64,2,2.26067042
58,0,18,8,1160,52,64,64,2,2.56304884
59,0,18,28,1180,52,64,64,2,2.56304884
60,0,18,48,1200,52,64,64,2,2.56304884
61,0,19,4,1220,52,64,64,3,2.24267626
62,0,19,24,1240,52,64,64,2,2.24267626
63,0,19,44,1260,52,64,64,3,2.24267626
64,0,20,0,1280,52,64,64,4,2.08868575
65,0,20,20,1300,52,64,64,3,2.08868575
66,0,20,40,1320,52,64,64,2,2.08868575
67,0,20,60,1340,52,64,64,3,2.08868575
68,0,21,16,1360,52,64,64,3,2.11936235
69,0,21,36,1380,52,64,64,1,2.11936235
70,0,21,56,1400,52,64,64,2,2.11936235
71,0,22,12,1420,52,64,64,3,2.04232836
72,0,22,32,1440,52,64,64,2,2.04232836
73,0,22,52,1460,52,64,64,2,2.04232836
74,0,23,8,1480,52,64,64,3,2.09482431
75,0,23,28,1500,52,64,64,1,2.09482431
76,0,23,48,1520,52,64,64,2,2.09482431
77,0,24,4,1540,52,64,64,2,2.06212282
78,0,24,24,1560,52,64,64,2,2.06212282
79,0,24,44,1580,52,64,64,3,2.06212282
80,0,25,0,1600,52,64,64,3,2.04581642
81,0,25,20,1620,52,64,64,2,2.04581642
82,0,25,40,1640,52,64,64,2,2.04581642
83,0,25,60,1660,52,64,64,2,2.04581642
84,0,26,16,1680,52,64,64,2,1.99506998
85,0,26,36,1700,52,64,64,2,1.99506998
86,0,26,56,1720,52,64,64,1,1.99506998
87,0,27,12,1740,52,64,64,2,1.85385108
88,0,27,32,1760,52,64,64,1,1.85385108
89,0,27,52,1780,52,64,64,2,1.85385108
90,0,28,8,1800,52,64,64,2,1.8271482
91,0,28,28,1820,52,64,64,3,1.8271482
92,0,28,48,1840,52,64,64,3,1.8271482
93,0,29,4,1860,52,64,64,3,1.6298728
94,0,29,24,1880,52,64,64,2,1.6298728
95,0,29,44,1900,52,64,64,2,1.6298728
96,0,30,0,1920,52,64,64,2,1.89061666
97,0,30,20,1940,52,64,64,2,1.89061666
98,0,30,40,1960,52,64,64,2,1.89061666
99,0,30,60,1980,52,64,64,2,1.89061666
100,0,31,16,2000,52,64,64,1,1.93863225
101,0,31,36,2020,52,64,64,3,1.93863225
102,0,31,56,2040,52,64,64,2,1.93863225
103,0,32,12,2060,52,64,64,1,1.60885572
104,0,32,32,2080,52,64,64,2,1.60885572
105,0,32,52,2100,52,64,64,3,1.60885572
106,0,33,8,2120,52,64,64,1,1.51595378
107,0,33,28,2140,52,64,64,1,1.51595378
108,0,33,48,2160,52,64,64,2,1.51595378
109,0,34,4,2180,52,64,64,3,1.73174763
110,0,34,24,2200,52,64,64,3,1.73174763
111,0,34,44,2220,52,64,64,1,1.73174763
112,0,35,0,2240,52,64,64,3,1.74256623
113,0,35,20,2260,52,64,64,2,1.74256623
114,0,35,40,2280,52,64,64,1,1.74256623
115,0,35,60,2300,52,64,64,2,1.74256623
